millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
156095,2021,9,25,17,28,32,4.40,8,1.04,657.00,162.5,0.4,47.16073608,-120.84843444,21.16,93888.92,638.36,37.40,
157100,2021,9,25,17,28,33,4.37,8,1.04,656.40,162.5,0.3,47.16074752,-120.84844207,21.17,93884.69,638.73,37.54,
158101,2021,9,25,17,28,34,4.40,8,1.04,656.60,162.5,0.2,47.16075134,-120.84843444,21.22,93886.96,638.53,37.62,
159107,2021,9,25,17,28,35,4.40,8,1.13,656.40,204.9,0.4,47.16075897,-120.84844207,21.25,93885.61,638.65,37.91,
160108,2021,9,25,17,28,36,4.34,8,1.22,656.40,204.9,0.2,47.16075897,-120.84844207,21.28,93884.16,638.78,37.62,
161114,2021,9,25,17,28,37,4.43,8,1.04,656.80,287.0,0.4,47.16076278,-120.84843444,21.36,93886.83,638.55,37.46,
162116,2021,9,25,17,28,38,4.40,7,1.22,656.50,287.0,0.1,47.16076660,-120.84843444,21.42,93880.50,639.11,37.27,
163117,2021,9,25,17,28,39,4.37,7,1.22,656.10,287.0,0.1,47.16076660,-120.84843444,21.47,93884.85,638.72,37.13,
164118,2021,9,25,17,28,40,4.37,7,1.22,655.90,331.2,0.4,47.16076660,-120.84843444,21.52,93878.78,639.26,36.75,
165120,2021,9,25,17,28,41,4.40,7,1.22,655.60,331.2,0.2,47.16077041,-120.84843444,21.54,93876.25,639.48,36.38,
166126,2021,9,25,17,28,42,4.37,7,1.22,655.30,331.2,0.3,47.16077041,-120.84843444,21.57,93876.12,639.49,35.82,
167132,2021,9,25,17,28,43,4.40,8,1.22,656.20,331.2,0.4,47.16076660,-120.84843444,21.56,93860.00,640.92,36.66,
168134,2021,9,25,17,28,44,4.37,8,1.22,658.20,331.2,0.8,47.16076660,-120.84842681,21.44,93829.88,643.59,35.89,
169135,2021,9,25,17,28,45,4.37,8,1.04,661.10,30.4,1.9,47.16077041,-120.84841156,21.36,93789.42,647.17,35.68,
170136,2021,9,25,17,28,46,4.37,8,1.04,665.60,97.8,1.3,47.16076278,-120.84839630,21.29,93742.22,651.36,35.67,
171141,2021,9,25,17,28,47,4.37,8,1.04,669.60,97.8,0.8,47.16075897,-120.84839630,21.21,93689.82,656.01,35.79,
172142,2021,9,25,17,28,48,4.40,8,1.04,674.20,145.9,1.3,47.16075134,-120.84840393,21.13,93639.35,660.48,35.91,
173144,2021,9,25,17,28,49,4.37,8,1.04,678.50,170.9,2.2,47.16073608,-120.84840393,21.08,93575.44,666.16,36.09,
174145,2021,9,25,17,28,50,4.40,8,1.04,682.90,170.1,2.5,47.16071319,-120.84840393,21.06,93523.00,670.82,35.91,
175147,2021,9,25,17,28,51,4.34,8,1.04,688.10,156.1,3.0,47.16069030,-120.84838104,20.94,93470.10,675.52,36.10,
176153,2021,9,25,17,28,52,4.40,8,1.04,692.10,156.1,2.1,47.16068649,-120.84835052,20.90,93424.56,679.56,36.20,
177154,2021,9,25,17,28,53,4.43,7,1.22,695.10,147.0,4.0,47.16069793,-120.84831237,20.84,93372.32,684.21,36.27,
178156,2021,9,25,17,28,54,4.40,8,1.04,699.80,114.2,2.3,47.16070556,-120.84826660,20.74,93324.85,688.43,36.50,
179162,2021,9,25,17,28,55,4.40,8,1.04,705.20,95.5,2.8,47.16070175,-120.84823608,20.66,93273.02,693.05,36.56,
180163,2021,9,25,17,28,56,4.37,8,1.04,709.30,89.7,3.0,47.16070175,-120.84819793,20.54,93223.76,697.43,36.31,
181168,2021,9,25,17,28,57,4.37,8,1.04,714.00,77.0,1.6,47.16070175,-120.84818267,20.38,93168.55,702.35,36.24,
182173,2021,9,25,17,28,58,4.37,8,1.04,718.70,59.8,0.9,47.16070175,-120.84816741,20.17,93117.81,706.87,36.57,
183178,2021,9,25,17,28,59,4.37,8,1.22,722.90,52.6,1.3,47.16070175,-120.84815979,20.04,93068.17,711.30,36.37,
184183,2021,9,25,17,29,0,4.40,8,1.22,726.40,12.0,3.3,47.16071319,-120.84815216,19.90,93020.72,715.53,36.43,
185186,2021,9,25,17,29,1,4.37,8,1.22,730.00,5.2,3.4,47.16073226,-120.84815216,19.82,92971.09,719.96,36.62,
186190,2021,9,25,17,29,2,4.37,8,1.22,733.20,7.1,2.7,47.16075134,-120.84814453,19.78,92920.88,724.45,36.56,
187194,2021,9,25,17,29,3,4.37,8,1.22,737.00,18.7,2.9,47.16076278,-120.84812164,19.72,92877.60,728.31,36.44,
188198,2021,9,25,17,29,4,4.40,8,1.22,740.70,29.6,4.0,47.16078948,-120.84809112,19.60,92842.37,731.46,36.59,
189203,2021,9,25,17,29,5,4.37,8,1.04,745.30,33.5,3.6,47.16081619,-120.84806060,19.49,92792.16,735.95,36.67,
190208,2021,9,25,17,29,6,4.34,8,1.04,750.30,42.9,3.2,47.16083526,-120.84803009,19.38,92755.13,739.26,36.84,
191212,2021,9,25,17,29,7,4.34,8,1.04,755.00,64.9,4.1,47.16085052,-120.84798431,19.23,92711.30,743.18,37.03,
192217,2021,9,25,17,29,8,4.37,8,1.04,759.40,66.4,4.2,47.16086578,-120.84793090,19.16,92665.15,747.31,37.15,
193222,2021,9,25,17,29,9,4.40,8,1.04,764.70,73.0,3.7,47.16087341,-120.84788513,19.03,92613.96,751.89,37.43,
194227,2021,9,25,17,29,10,4.37,8,1.04,769.00,94.8,4.3,47.16086959,-120.84783172,18.84,92563.64,756.40,37.34,
195231,2021,9,25,17,29,11,4.40,8,1.04,772.10,96.2,5.1,47.16085815,-120.84776306,18.73,92524.81,759.88,37.39,
196232,2021,9,25,17,29,12,4.40,8,1.04,775.80,96.1,5.2,47.16084671,-120.84768676,18.69,92491.69,762.85,37.44,
197236,2021,9,25,17,29,13,4.37,8,1.04,778.80,106.6,4.4,47.16082763,-120.84761810,18.62,92450.98,766.49,37.45,
198238,2021,9,25,17,29,14,4.40,8,1.04,782.10,115.9,3.9,47.16079711,-120.84756469,18.52,92401.00,770.98,37.14,
199244,2021,9,25,17,29,15,4.43,8,1.04,786.50,113.5,4.0,47.16077423,-120.84751129,18.45,92352.68,775.31,37.71,
200246,2021,9,25,17,29,16,4.40,8,1.04,791.80,115.2,3.6,47.16075897,-120.84747314,18.34,92298.66,780.16,37.42,
201247,2021,9,25,17,29,17,4.37,8,1.08,796.80,118.2,3.3,47.16073226,-120.84743499,18.30,92247.71,784.74,38.03,
202251,2021,9,25,17,29,18,4.37,8,1.08,801.80,127.6,2.6,47.16071319,-120.84740447,18.31,92196.28,789.36,37.60,
203256,2021,9,25,17,29,19,4.37,8,1.04,806.70,125.0,2.0,47.16070556,-120.84738159,18.24,92139.34,794.48,37.73,
204259,2021,9,25,17,29,20,4.37,8,1.04,811.90,120.7,0.9,47.16070175,-120.84735870,18.19,92084.07,799.45,37.90,
205264,2021,9,25,17,29,21,4.43,8,1.08,816.60,120.7,0.8,47.16070556,-120.84735107,18.19,92031.10,804.22,37.85,
206266,2021,9,25,17,29,22,4.37,8,1.08,820.60,40.8,2.8,47.16071701,-120.84733581,18.15,91984.67,808.40,37.84,
